"amount_deviation","bank_name","bin","card_subtype","card_type","case_address","client_hour","count_digit_in_login","day_of_week","last_domain_zone","phone_2","status"
"-3","BANK OF AMERICA, N.A.","534232","standard","MasterCard","mixed","06","0","5","it","20","false"
"-3","undefined","537465","mastercard-debit","MasterCard","mixed","11","0","5","com","33","false"
"-3","PBS INTERNATIONAL A/S","457150","classic","VISA card","mixed","11","2","5","com","undefined","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","11","2","5","it","48","false"
"-3","PBS INTERNATIONAL A/S","457170","classic","VISA card","mixed","12","0","5","com","undefined","false"
"-3","BANCA SELLA S.P.A.","533875","standard","MasterCard","mixed","12","0","5","it","28","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","12","0","5","it","48","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","12","0","5","it","35","false"
"-3","undefined","535476","mastercard-debit","MasterCard","lowercase","12","2","5","com","28","false"
"-3","INTESA SANPAOLO S.P.A.","539832","standard","MasterCard","mixed","12","1","5","it","47","false"
"-3","undefined","535476","mastercard-debit","MasterCard","mixed","12","0","5","com","27","false"
"-3","NORDEA BANK DANMARK A/S","402620","classic","VISA card","mixed","12","1","5","com","undefined","false"
"-3","TELLER A/S","549774","standard","MasterCard","mixed","12","0","5","us","undefined","false"
"-3","UNICREDIT S.P.A.","525610","standard","MasterCard","mixed","12","2","5","com","35","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","12","2","5","com","71","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","12","4","5","com","48","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","12","2","5","com","47","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","12","0","5","it","77","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","12","3","5","com","66","false"
"-3","FINDOMESTIC BANCA S.P.A.","546986","standard","MasterCard","mixed","12","0","5","it","77","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","12","0","5","it","38","false"
"-3","DANSKE BANK A/S","557384","mastercard-debit","MasterCard","mixed","12","6","5","com","undefined","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","12","2","5","com","47","false"
"-3","DANSKE BANK A/S","557384","mastercard-debit","MasterCard","mixed","12","6","5","com","undefined","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","11","0","5","com","51","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","12","0","5","com","80","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","lowercase","12","1","5","com","31","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","12","0","5","it","35","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","12","4","5","com","03","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","12","0","5","it","45","false"
